JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459993.525706,11.130,0.011,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.956,18.838,,ASAS J060415+1245.9,VVS,STD,,,,
2459993.525972,11.531,0.013,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.993,19.216,,ASAS J060415+1245.9,VVS,STD,,,,
2459995.522662,8.791,0.006,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.144,19.498,,ASAS J060415+1245.9,VVS,STD,,,,
2459995.522813,8.785,0.006,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.136,19.470,,ASAS J060415+1245.9,VVS,STD,,,,
2459995.522998,10.180,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.805,18.487,,ASAS J060415+1245.9,VVS,STD,,,,
2459995.523148,10.171,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.823,18.495,,ASAS J060415+1245.9,VVS,STD,,,,
2459995.523391,11.342,0.008,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.483,18.500,,ASAS J060415+1245.9,VVS,STD,,,,
2459995.523657,11.327,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.502,18.511,,ASAS J060415+1245.9,VVS,STD,,,,
2459996.521829,8.841,0.008,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.506,19.860,,ASAS J060415+1245.9,VVS,STD,,,,
2459996.521979,8.839,0.008,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.465,19.820,,ASAS J060415+1245.9,VVS,STD,,,,
2459996.522164,10.251,0.007,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,18.134,18.830,,ASAS J060415+1245.9,VVS,STD,,,,
2459996.522326,10.254,0.007,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,18.138,18.859,,ASAS J060415+1245.9,VVS,STD,,,,
2459996.522558,11.375,0.011,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.891,18.921,,ASAS J060415+1245.9,VVS,STD,,,,
2459996.522836,11.403,0.011,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.849,18.903,,ASAS J060415+1245.9,VVS,STD,,,,
2459998.510868,8.894,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.233,Z,18.164,19.514,,ASAS J060415+1245.9,VVS,STD,,,,
2459998.511030,8.896,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.233,Z,18.171,19.507,,ASAS J060415+1245.9,VVS,STD,,,,
2459998.511204,10.327,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.233,Z,17.828,18.490,,ASAS J060415+1245.9,VVS,STD,,,,
2459998.511366,10.318,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.233,Z,17.833,18.498,,ASAS J060415+1245.9,VVS,STD,,,,
2459998.511597,11.497,0.010,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.512,18.533,,ASAS J060415+1245.9,VVS,STD,,,,
2459998.511875,11.484,0.010,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.528,18.558,,ASAS J060415+1245.9,VVS,STD,,,,
2459998.67152,10.304,0.1,,V,BVS,,105,111,X28357E,"""Remotely taken image through Abbey Ridge Observatory, Halifax (Canada)""",0,,Z,10.452,11.112,,ASAS J060415+1245.9,AAVSO,STD,,,,
2459998.67152,9.595,0.1,,R,BVS,,105,111,X28357E,"""Remotely taken image through Abbey Ridge Observatory, Halifax (Canada)""",0,,Z,9.879,10.854,,ASAS J060415+1245.9,AAVSO,STD,,,,
2459998.67152,8.885,0.1,,I,BVS,,105,111,X28357E,"""Remotely taken image through Abbey Ridge Observatory, Halifax (Canada)""",0,,Z,9.345,10.609,,ASAS J060415+1245.9,AAVSO,STD,,,,
2459999.510602,8.915,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.232,Z,18.184,19.535,,ASAS J060415+1245.9,VVS,STD,,,,
2459999.510764,8.919,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.232,Z,18.184,19.541,,ASAS J060415+1245.9,VVS,STD,,,,
2459999.510949,10.346,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.232,Z,17.847,18.515,,ASAS J060415+1245.9,VVS,STD,,,,
2459999.511100,10.351,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.232,Z,17.846,18.532,,ASAS J060415+1245.9,VVS,STD,,,,
2459999.511343,11.532,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.518,18.524,,ASAS J060415+1245.9,VVS,STD,,,,
2459999.511609,11.548,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.232,Z,18.521,18.547,,ASAS J060415+1245.9,VVS,STD,,,,
2460000.509317,8.919,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.214,19.552,,ASAS J060415+1245.9,VVS,STD,,,,
2460000.509468,8.940,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.196,19.532,,ASAS J060415+1245.9,VVS,STD,,,,
2460000.509653,10.364,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.869,18.553,,ASAS J060415+1245.9,VVS,STD,,,,
2460000.509803,10.379,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.860,18.535,,ASAS J060415+1245.9,VVS,STD,,,,
2460000.510046,11.534,0.010,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.562,18.556,,ASAS J060415+1245.9,VVS,STD,,,,
2460000.510313,11.524,0.010,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.576,18.586,,ASAS J060415+1245.9,VVS,STD,,,,
2460001.508958,8.917,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.223,19.548,,ASAS J060415+1245.9,VVS,STD,,,,
2460001.509109,8.908,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.195,19.507,,ASAS J060415+1245.9,VVS,STD,,,,
2460001.509294,10.382,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.851,18.516,,ASAS J060415+1245.9,VVS,STD,,,,
2460001.509444,10.358,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.885,18.553,,ASAS J060415+1245.9,VVS,STD,,,,
2460001.509699,11.574,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.528,18.552,,ASAS J060415+1245.9,VVS,STD,,,,
2460001.509965,11.568,0.010,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.530,18.577,,ASAS J060415+1245.9,VVS,STD,,,,
2460002.508495,8.938,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.195,19.556,,ASAS J060415+1245.9,VVS,STD,,,,
2460002.508646,8.937,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.190,19.543,,ASAS J060415+1245.9,VVS,STD,,,,
2460002.508831,10.358,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.868,18.533,,ASAS J060415+1245.9,VVS,STD,,,,
2460002.508981,10.364,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.886,18.559,,ASAS J060415+1245.9,VVS,STD,,,,
2460002.509225,11.565,0.010,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.502,18.531,,ASAS J060415+1245.9,VVS,STD,,,,
2460002.509491,11.559,0.010,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.548,18.590,,ASAS J060415+1245.9,VVS,STD,,,,
2460003.507917,8.913,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.231,19.582,,ASAS J060415+1245.9,VVS,STD,,,,
2460003.508079,8.916,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.257,19.604,,ASAS J060415+1245.9,VVS,STD,,,,
2460003.508252,10.384,0.007,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.928,18.646,,ASAS J060415+1245.9,VVS,STD,,,,
2460003.508414,10.355,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.231,Z,17.921,18.621,,ASAS J060415+1245.9,VVS,STD,,,,
2460003.508646,11.555,0.011,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.557,18.612,,ASAS J060415+1245.9,VVS,STD,,,,
2460003.508924,11.545,0.011,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.231,Z,18.574,18.594,,ASAS J060415+1245.9,VVS,STD,,,,
2460004.507037,8.892,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.196,19.538,,ASAS J060415+1245.9,VVS,STD,,,,
2460004.507188,8.899,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.231,Z,18.165,19.507,,ASAS J060415+1245.9,VVS,STD,,,,
