HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457392.87318,2016-01-05.3677444,bd,2.03,14.620,10.064,0.005,361.763,1.791,V
2457392.87443,2016-01-05.3689986,bd,2.05,14.620,10.065,0.005,361.617,1.724,V
2457392.87568,2016-01-05.3702496,bd,2.05,14.631,10.075,0.005,358.038,1.624,V
2457395.88010,2016-01-08.3747431,bd,1.78,14.668,10.089,0.005,353.205,1.561,V
2457395.88135,2016-01-08.3759938,bd,1.83,14.673,10.089,0.005,353.502,1.542,V
2457395.88261,2016-01-08.3772520,bd,1.89,14.667,10.083,0.004,355.338,1.365,V
2457398.83543,2016-01-11.3301625,bd,1.46,14.640,10.033,0.004,372.181,1.526,V
2457398.83668,2016-01-11.3314140,bd,1.47,14.643,10.034,0.004,371.904,1.396,V
2457398.83793,2016-01-11.3326581,bd,1.51,14.635,10.024,0.004,375.257,1.384,V
2457402.88052,2016-01-15.3753935,bd,1.68,14.605,9.958,0.004,398.967,1.612,V
2457402.88176,2016-01-15.3766436,bd,1.66,14.604,9.959,0.004,398.403,1.575,V
2457402.88303,2016-01-15.3779063,bd,1.61,14.600,9.953,0.004,400.667,1.588,V
2457405.84590,2016-01-18.3409052,bd,1.46,14.587,9.932,0.004,408.403,1.597,V
2457406.94313,2016-01-19.4381811,bd,1.50,14.582,9.938,0.004,406.147,1.614,V
2457406.94438,2016-01-19.4394335,bd,1.47,14.580,9.930,0.004,409.197,1.649,V
2457406.94564,2016-01-19.4406930,bd,1.47,14.579,9.936,0.004,406.865,1.662,V
2457412.93366,2016-01-25.4290090,bd,1.59,14.611,10.045,0.004,368.040,1.500,V
2457412.93490,2016-01-25.4302505,bd,1.66,14.602,10.044,0.004,368.267,1.434,V
2457412.93617,2016-01-25.4315170,bd,1.63,14.619,10.062,0.005,362.394,1.680,V
2457413.78408,2016-01-26.2794792,bd,1.58,14.639,10.063,0.005,361.858,1.675,V
2457413.78534,2016-01-26.2807366,bd,1.56,14.645,10.069,0.004,360.027,1.515,V
2457413.78659,2016-01-26.2819878,bd,1.59,14.643,10.076,0.005,357.810,1.565,V
2457415.89299,2016-01-28.3884994,bd,1.56,14.659,10.090,0.004,352.838,1.418,V
2457415.89424,2016-01-28.3897524,bd,1.52,14.652,10.088,0.004,353.538,1.512,V
2457415.89549,2016-01-28.3910061,bd,1.49,14.658,10.093,0.004,352.226,1.482,V
2457417.90880,2016-01-30.4044363,bd,1.58,14.649,10.091,0.005,352.934,1.578,V
2457417.91004,2016-01-30.4056777,bd,1.65,14.641,10.081,0.005,356.106,1.587,V
2457417.91130,2016-01-30.4069332,bd,1.61,14.645,10.088,0.004,353.560,1.500,V
2457418.87738,2016-01-31.3730744,bd,1.54,14.653,10.068,0.004,360.406,1.485,V
2457418.87864,2016-01-31.3743356,bd,1.51,14.651,10.063,0.004,362.107,1.496,V
2457418.87989,2016-01-31.3755898,bd,1.45,14.654,10.071,0.004,359.413,1.529,V
2457421.91698,2016-02-03.4128723,bd,1.46,14.607,9.997,0.005,384.849,1.683,V
2457421.91823,2016-02-03.4141243,bd,1.52,14.612,10.005,0.005,381.655,1.768,V
2457421.91950,2016-02-03.4153887,bd,1.52,14.606,9.999,0.005,383.996,1.621,V
2457423.89194,2016-02-05.3879628,bd,1.53,14.374,9.962,0.005,397.229,1.886,V
