HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459190.66811,2020-12-07.1627334,bH,1.48,15.249,11.009,0.005,143.336,0.657,g
2459190.66940,2020-12-07.1640224,bH,1.51,15.244,11.001,0.005,144.342,0.674,g
2459190.67069,2020-12-07.1653108,bH,1.45,15.252,11.016,0.005,142.552,0.640,g
2459190.72651,2020-12-07.2211361,bl,1.45,15.191,11.003,0.005,144.130,0.678,g
2459190.72774,2020-12-07.2223626,bl,1.56,15.193,11.005,0.006,143.972,0.691,g
2459190.72895,2020-12-07.2235842,bl,1.51,15.185,10.994,0.006,145.381,0.704,g
2459190.76699,2020-12-07.2616170,bH,1.44,15.260,11.010,0.004,143.234,0.629,g
2459190.76828,2020-12-07.2628998,bH,1.44,15.261,11.011,0.005,143.184,0.660,g
2459190.76957,2020-12-07.2641847,bH,1.44,15.270,11.028,0.005,140.899,0.631,g
2459190.93469,2020-12-07.4293049,bD,1.44,15.433,11.027,0.004,140.977,0.553,g
2459190.93593,2020-12-07.4305442,bD,1.51,15.435,11.025,0.005,141.205,0.558,g
2459190.93717,2020-12-07.4317859,bD,1.46,15.432,11.019,0.005,141.977,0.563,g
2459191.07492,2020-12-07.5695422,bD,1.45,15.417,11.027,0.004,140.932,0.557,g
2459191.07618,2020-12-07.5707908,bD,1.51,15.420,11.029,0.004,140.685,0.554,g
2459191.07742,2020-12-07.5720319,bD,1.46,15.404,11.012,0.004,143.044,0.545,g
2459192.95709,2020-12-09.4516626,bt,1.48,15.194,11.005,0.006,143.833,0.734,g
2459192.95833,2020-12-09.4528916,bt,1.57,15.188,11.001,0.006,144.452,0.718,g
2459192.95954,2020-12-09.4541121,bt,1.48,15.194,10.995,0.006,145.299,0.733,g
2459195.79033,2020-12-12.2848369,bD,1.56,15.302,10.917,0.005,156.073,0.650,g
2459195.79157,2020-12-12.2860820,bD,1.64,15.297,10.902,0.005,158.188,0.681,g
2459195.79282,2020-12-12.2873240,bD,1.57,15.301,10.902,0.005,158.174,0.665,g
2459197.43104,2020-12-13.9255199,bp,1.48,15.171,10.863,0.005,163.941,0.745,g
2459197.43227,2020-12-13.9267533,bp,1.52,15.175,10.868,0.005,163.318,0.720,g
2459197.68175,2020-12-14.1762325,bl,1.48,15.102,10.830,0.005,169.142,0.736,g
2459197.68298,2020-12-14.1774613,bl,1.55,15.108,10.837,0.005,168.049,0.734,g
2459197.68421,2020-12-14.1786890,bl,1.47,15.101,10.833,0.004,168.512,0.720,g
2459197.85022,2020-12-14.3447016,bH,1.43,15.114,10.834,0.005,168.337,0.782,g
2459197.85152,2020-12-14.3459936,bH,1.46,15.114,10.840,0.005,167.511,0.766,g
2459197.85281,2020-12-14.3472900,bH,1.45,15.108,10.841,0.005,167.351,0.794,g
2459197.96577,2020-12-14.4602407,bt,1.51,15.104,10.854,0.005,165.420,0.792,g
2459197.96700,2020-12-14.4614695,bt,1.53,15.116,10.872,0.005,162.595,0.777,g
2459197.96823,2020-12-14.4627077,bt,1.53,15.109,10.864,0.005,163.905,0.830,g
2459199.94605,2020-12-16.4404951,bt,1.63,15.097,10.846,0.005,166.590,0.792,g
2459199.94727,2020-12-16.4417193,bt,1.60,15.105,10.847,0.005,166.403,0.764,g
2459199.94849,2020-12-16.4429446,bt,1.64,15.102,10.847,0.005,166.385,0.772,g
2459200.87148,2020-12-17.3659276,bD,1.53,15.328,10.838,0.004,167.842,0.643,g
2459200.87273,2020-12-17.3671716,bD,1.55,15.328,10.830,0.003,168.973,0.605,g
2459200.87397,2020-12-17.3684184,bD,1.53,15.327,10.831,0.004,168.900,0.629,g
2459200.91700,2020-12-17.4114437,bD,1.51,15.340,10.836,0.003,168.099,0.590,g
2459200.94322,2020-12-17.4376553,bD,1.54,15.332,10.820,0.004,170.654,0.612,g
2459201.46186,2020-12-17.9563003,bp,1.54,99.990,99.990,99.990,99.990,99.990,g
2459201.46308,2020-12-17.9575243,bp,1.57,15.157,10.853,0.004,165.575,0.701,g
2459201.46431,2020-12-17.9587531,bp,1.54,15.146,10.832,0.005,168.758,0.748,g
2459201.50168,2020-12-17.9961211,bp,1.63,15.165,10.879,0.005,161.517,0.751,g
2459201.50291,2020-12-17.9973508,bp,1.56,15.160,10.868,0.005,163.123,0.733,g
2459201.50414,2020-12-17.9985819,bp,1.55,15.156,10.858,0.005,164.861,0.781,g
2459201.75988,2020-12-18.2543225,bl,1.55,15.086,10.803,0.005,173.301,0.773,g
2459201.76112,2020-12-18.2555534,bl,1.51,15.104,10.836,0.005,168.062,0.775,g
2459201.76235,2020-12-18.2567846,bl,1.48,15.098,10.810,0.005,172.261,0.780,g
2459202.38224,2020-12-18.8766728,bp,1.55,15.120,10.830,0.005,169.076,0.754,g
2459202.38347,2020-12-18.8779040,bp,1.54,15.121,10.826,0.005,169.640,0.752,g
2459202.38469,2020-12-18.8791246,bp,1.51,15.119,10.823,0.005,170.082,0.737,g
2459202.67723,2020-12-19.1716598,bl,1.47,15.100,10.815,0.005,171.356,0.772,g
2459202.67846,2020-12-19.1728908,bl,1.45,15.097,10.813,0.005,171.832,0.785,g
2459202.67970,2020-12-19.1741289,bl,1.55,15.102,10.820,0.005,170.600,0.742,g
2459202.72645,2020-12-19.2208726,bl,1.50,15.092,10.806,0.005,172.798,0.751,g
2459202.72768,2020-12-19.2221040,bl,1.46,15.101,10.827,0.005,169.532,0.757,g
2459202.72891,2020-12-19.2233355,bl,1.47,15.097,10.815,0.005,171.481,0.755,g
2459203.45423,2020-12-19.9486537,bp,1.53,99.990,99.990,99.990,99.990,99.990,g
2459203.45546,2020-12-19.9498800,bp,1.51,99.990,99.990,99.990,99.990,99.990,g
2459203.45668,2020-12-19.9511111,bp,1.56,99.990,99.990,99.990,99.990,99.990,g
2459203.51435,2020-12-20.0087767,bp,1.57,15.134,10.847,0.005,166.447,0.748,g
2459203.51558,2020-12-20.0100031,bp,1.60,15.129,10.851,0.005,165.936,0.763,g
2459203.51680,2020-12-20.0112206,bp,1.58,99.990,99.990,99.990,99.990,99.990,g
2459204.65403,2020-12-21.1484472,bl,1.50,15.081,10.831,0.005,168.941,0.777,g
2459204.65526,2020-12-21.1496809,bl,1.54,15.093,10.832,0.005,168.676,0.779,g
2459204.65650,2020-12-21.1509130,bl,1.54,15.091,10.838,0.005,167.814,0.768,g
2459205.76342,2020-12-22.2578393,bD,1.52,15.274,10.891,0.005,159.889,0.727,g
2459205.76467,2020-12-22.2590847,bD,1.56,15.286,10.887,0.005,160.363,0.723,g
2459205.76591,2020-12-22.2603287,bD,1.53,15.279,10.882,0.005,161.134,0.676,g
2459205.79373,2020-12-22.2881538,bD,1.53,15.314,10.878,0.005,161.683,0.643,g
2459205.79499,2020-12-22.2894047,bD,1.43,15.320,10.877,0.005,161.909,0.665,g
2459205.79623,2020-12-22.2906534,bD,1.44,15.322,10.890,0.005,160.021,0.658,g
2459206.76777,2020-12-23.2621945,bD,1.54,15.294,10.923,0.005,155.229,0.680,g
2459206.76902,2020-12-23.2634490,bD,1.46,15.296,10.926,0.005,154.789,0.672,g
2459206.77027,2020-12-23.2646875,bD,1.49,15.298,10.934,0.005,153.662,0.650,g
2459207.30947,2020-12-23.8038899,bp,1.58,15.074,10.953,0.006,150.970,0.769,g
2459207.31075,2020-12-23.8051717,bp,1.57,15.090,10.958,0.006,150.318,0.812,g
2459207.31197,2020-12-23.8063876,bp,1.55,15.086,10.944,0.006,152.290,0.821,g
2459207.81788,2020-12-24.3122974,bD,1.54,15.365,10.987,0.005,146.297,0.595,g
2459207.81913,2020-12-24.3135486,bD,1.50,15.359,10.969,0.005,148.745,0.601,g
2459207.82038,2020-12-24.3148005,bD,1.53,15.364,10.981,0.005,147.086,0.621,g
2459208.35752,2020-12-24.8519443,bp,1.60,15.118,10.970,0.006,148.649,0.782,g
2459208.35874,2020-12-24.8531658,bp,1.49,15.166,11.019,0.006,142.074,0.694,g
2459208.35998,2020-12-24.8543982,bp,1.48,15.174,10.975,0.006,148.008,0.730,g
2459208.69682,2020-12-25.1912513,bl,1.49,15.119,10.982,0.006,146.953,0.724,g
2459208.69804,2020-12-25.1924736,bl,1.50,15.123,10.984,0.006,146.750,0.745,g
2459208.69927,2020-12-25.1936961,bl,1.50,15.116,10.974,0.006,148.146,0.736,g
2459209.36722,2020-12-25.8616540,bp,1.56,15.149,11.012,0.006,142.941,0.771,g
2459209.36846,2020-12-25.8628837,bp,1.52,15.164,11.038,0.006,139.601,0.721,g
2459209.36969,2020-12-25.8641140,bp,1.49,15.152,11.006,0.006,143.736,0.747,g
2459209.39700,2020-12-25.8914269,bp,1.49,15.170,11.012,0.006,143.004,0.747,g
2459209.39823,2020-12-25.8926592,bp,1.53,15.170,11.010,0.006,143.154,0.723,g
2459209.39946,2020-12-25.8938891,bp,1.54,15.163,11.041,0.006,139.166,0.733,g
2459210.34280,2020-12-26.8372376,bp,1.56,15.065,11.029,0.006,140.732,0.832,g
2459210.34431,2020-12-26.8387467,bp,1.52,15.090,10.955,0.006,150.639,0.814,g
2459210.34556,2020-12-26.8400017,bp,1.55,15.109,11.034,0.006,140.101,0.749,g
2459210.43945,2020-12-26.9338847,bp,1.59,15.136,11.022,0.006,141.702,0.736,g
2459210.44068,2020-12-26.9351099,bp,1.52,15.172,11.018,0.006,142.125,0.735,g
2459210.44190,2020-12-26.9363422,bp,1.54,15.195,11.048,0.006,138.302,0.697,g
2459210.90713,2020-12-27.4015697,bD,1.56,15.387,11.043,0.005,138.939,0.605,g
2459210.90837,2020-12-27.4028091,bD,1.46,15.375,11.032,0.005,140.433,0.588,g
2459210.90962,2020-12-27.4040547,bD,1.43,15.373,11.029,0.005,140.753,0.604,g
2459211.02215,2020-12-27.5165909,bD,1.52,15.353,11.048,0.005,138.387,0.636,g
2459211.02340,2020-12-27.5178327,bD,1.50,15.377,11.038,0.005,139.555,0.582,g
2459211.02464,2020-12-27.5190770,bD,1.54,15.340,11.033,0.005,140.245,0.646,g
2459211.36252,2020-12-27.8569672,bp,1.55,15.097,11.037,0.006,139.744,0.798,g
2459211.36375,2020-12-27.8581894,bp,1.54,15.106,11.034,0.006,140.050,0.742,g
2459211.36496,2020-12-27.8594153,bp,1.51,15.078,11.037,0.006,139.750,0.831,g
2459211.55187,2020-12-28.0463146,bp,1.53,15.007,11.059,0.007,136.934,0.827,g
2459211.55310,2020-12-28.0475432,bp,1.98,15.010,11.051,0.007,138.000,0.849,g
2459211.55431,2020-12-28.0487662,bp,1.54,15.058,11.058,0.006,137.045,0.827,g
2459214.73384,2020-12-31.2283202,bH,1.59,15.061,10.993,0.006,145.579,0.805,g
2459214.73512,2020-12-31.2296081,bH,1.52,15.128,10.983,0.006,146.947,0.768,g
2459214.73643,2020-12-31.2309112,bH,1.55,15.103,10.989,0.006,146.072,0.807,g
2459214.97693,2020-12-31.4714186,bD,2.00,15.294,10.988,0.005,146.202,0.713,g
2459214.97817,2020-12-31.4726662,bD,2.01,15.310,10.999,0.005,144.779,0.667,g
2459214.97942,2020-12-31.4739105,bD,2.03,15.278,10.991,0.005,145.738,0.681,g
2459215.47847,2020-12-31.9729677,bp,1.47,15.028,10.979,0.006,147.381,0.797,g
2459215.47969,2020-12-31.9741849,bp,1.57,15.117,11.000,0.006,144.565,0.788,g
2459215.48091,2020-12-31.9754113,bp,1.58,15.079,10.990,0.006,145.827,0.817,g
2459215.70695,2021-01-01.2014434,bl,1.50,15.057,10.951,0.006,151.177,0.792,g
2459215.70818,2021-01-01.2026780,bl,1.55,15.030,10.938,0.006,153.081,0.831,g
2459215.70941,2021-01-01.2039114,bl,1.50,15.037,10.950,0.006,151.294,0.797,g
2459216.46289,2021-01-01.9573993,bp,1.65,15.123,10.946,0.006,151.936,0.732,g
2459216.46415,2021-01-01.9586549,bp,1.64,15.093,10.948,0.006,151.602,0.788,g
2459216.46537,2021-01-01.9598829,bp,2.07,15.089,10.951,0.006,151.214,0.781,g
2459216.54061,2021-01-02.0351254,bl,1.52,14.958,10.915,0.006,156.317,0.879,g
2459216.54185,2021-01-02.0363589,bl,1.53,14.988,10.915,0.006,156.325,0.844,g
2459216.54308,2021-01-02.0375936,bl,1.48,15.006,10.914,0.006,156.482,0.865,g
2459216.79887,2021-01-02.2933893,bH,1.50,15.022,10.926,0.006,154.697,0.897,g
2459216.80016,2021-01-02.2946725,bH,1.48,15.030,10.920,0.006,155.709,0.905,g
2459216.80146,2021-01-02.2959849,bH,1.48,15.025,10.935,0.006,153.575,0.891,g
2459217.98870,2021-01-03.4832474,bD,1.52,15.339,10.902,0.005,158.190,0.627,g
2459217.98996,2021-01-03.4844989,bD,1.56,15.335,10.897,0.005,158.968,0.622,g
2459217.99121,2021-01-03.4857559,bD,1.51,15.327,10.905,0.005,157.826,0.618,g
2459218.62378,2021-01-04.1183358,bH,1.40,15.185,10.868,0.005,163.220,0.703,g
2459218.62508,2021-01-04.1196313,bH,1.46,15.182,10.866,0.005,163.597,0.706,g
2459218.62636,2021-01-04.1209221,bH,1.45,15.181,10.859,0.005,164.564,0.736,g
2459218.73279,2021-01-04.2273519,bl,1.54,15.070,10.856,0.005,165.036,0.766,g
2459218.73402,2021-01-04.2285739,bl,1.55,15.078,10.866,0.004,163.448,0.738,g
2459218.73524,2021-01-04.2297917,bl,1.50,15.080,10.855,0.005,165.275,0.790,g
2459218.86741,2021-01-04.3619792,bD,1.54,15.356,10.870,0.004,162.997,0.607,g
2459218.86866,2021-01-04.3632259,bD,1.50,15.355,10.875,0.005,162.169,0.621,g
2459218.86991,2021-01-04.3644689,bD,1.58,15.349,10.861,0.004,164.240,0.597,g
2459218.98170,2021-01-04.4762637,bD,1.47,15.336,10.863,0.005,163.999,0.627,g
2459218.98294,2021-01-04.4775135,bD,1.55,15.329,10.853,0.005,165.467,0.627,g
2459218.98418,2021-01-04.4787578,bD,1.51,15.334,10.862,0.005,164.235,0.656,g
2459219.55014,2021-01-05.0447232,bp,1.51,14.797,10.853,0.009,165.550,1.374,g
2459219.55136,2021-01-05.0459344,bp,1.53,14.929,10.805,0.008,172.871,1.214,g
2459219.55257,2021-01-05.0471531,bp,1.52,14.996,10.832,0.006,168.834,0.898,g
2459220.72752,2021-01-06.2221263,bD,1.52,15.262,10.812,0.005,171.917,0.704,g
2459220.72877,2021-01-06.2233820,bD,1.51,15.263,10.806,0.005,172.807,0.689,g
2459220.73002,2021-01-06.2246266,bD,1.56,15.262,10.808,0.005,172.550,0.677,g
2459221.34422,2021-01-06.8388413,bp,1.53,99.990,99.990,99.990,99.990,99.990,g
2459221.34545,2021-01-06.8400678,bp,1.52,99.990,99.990,99.990,99.990,99.990,g
2459221.34666,2021-01-06.8412814,bp,1.52,99.990,99.990,99.990,99.990,99.990,g
2459221.53283,2021-01-07.0274575,bp,1.53,15.035,10.809,0.005,172.285,0.833,g
2459221.53406,2021-01-07.0286850,bp,1.59,15.048,10.859,0.006,164.658,0.875,g
2459221.53528,2021-01-07.0299061,bp,1.62,15.029,10.813,0.005,171.693,0.832,g
2459221.74430,2021-01-07.2389328,bl,1.51,15.036,10.793,0.005,174.922,0.783,g
2459221.74554,2021-01-07.2401665,bl,1.43,15.022,10.785,0.004,176.307,0.783,g
2459221.74676,2021-01-07.2413922,bl,1.38,15.030,10.787,0.005,175.762,0.785,g
2459221.75748,2021-01-07.2521129,bH,1.55,15.087,10.798,0.005,174.221,0.775,g
2459221.75878,2021-01-07.2534135,bH,1.54,15.083,10.809,0.005,172.442,0.794,g
2459221.76007,2021-01-07.2547023,bH,1.53,15.084,10.814,0.005,171.682,0.770,g
2459222.37456,2021-01-07.8692032,bp,1.54,99.990,99.990,99.990,99.990,99.990,g
2459222.37579,2021-01-07.8704319,bp,1.49,15.140,10.814,0.005,171.535,0.764,g
2459222.37703,2021-01-07.8716751,bp,1.62,99.990,99.990,99.990,99.990,99.990,g
2459222.67006,2021-01-08.1647218,bH,1.46,15.135,10.803,0.005,173.253,0.740,g
2459222.67136,2021-01-08.1660151,bH,1.48,15.131,10.796,0.005,174.485,0.756,g
2459222.67264,2021-01-08.1672990,bH,1.46,15.140,10.805,0.005,172.857,0.733,g
2459222.98456,2021-01-08.4792254,bD,1.51,15.324,10.821,0.004,170.472,0.621,g
2459222.98581,2021-01-08.4804790,bD,1.51,15.329,10.831,0.004,168.826,0.613,g
2459222.98705,2021-01-08.4817229,bD,1.52,15.318,10.816,0.004,171.238,0.633,g
2459223.47160,2021-01-08.9662775,bp,1.54,99.990,99.990,99.990,99.990,99.990,g
2459223.47282,2021-01-08.9675005,bp,1.57,99.990,99.990,99.990,99.990,99.990,g
2459223.47405,2021-01-08.9687295,bp,1.54,15.101,10.826,0.005,169.741,0.764,g
2459223.71426,2021-01-09.2089425,bl,1.48,15.075,10.795,0.004,174.522,0.754,g
2459223.71549,2021-01-09.2101795,bl,1.45,15.071,10.794,0.005,174.778,0.797,g
2459223.71672,2021-01-09.2114045,bl,1.50,15.074,10.797,0.005,174.268,0.767,g
2459224.37303,2021-01-09.8677357,bp,1.55,15.128,10.821,0.005,170.569,0.761,g
2459224.37426,2021-01-09.8689682,bp,1.52,15.132,10.830,0.005,169.104,0.743,g
2459224.37549,2021-01-09.8702004,bp,1.54,99.990,99.990,99.990,99.990,99.990,g
2459224.46666,2021-01-09.9613706,bp,1.47,15.135,10.835,0.005,168.219,0.762,g
2459224.46789,2021-01-09.9626101,bp,1.47,15.130,10.839,0.005,167.642,0.762,g
2459224.46913,2021-01-09.9638401,bp,1.46,15.132,10.825,0.005,169.750,0.770,g
2459225.60020,2021-01-11.0949550,bl,1.46,15.084,10.817,0.004,171.081,0.725,g
2459225.60144,2021-01-11.0961942,bl,1.54,15.087,10.819,0.005,170.702,0.753,g
2459225.60266,2021-01-11.0974121,bl,1.51,15.094,10.828,0.005,169.429,0.761,g
2459225.70560,2021-01-11.20035,bH,1.48,15.141,10.796,0.005,174.446,0.732,g
2459225.70689,2021-01-11.2016417,bH,1.46,15.169,10.844,0.005,166.904,0.736,g
2459225.70818,2021-01-11.2029274,bH,1.47,15.178,10.856,0.005,165.021,0.739,g
2459225.79031,2021-01-11.2850673,bD,1.61,15.336,10.854,0.004,165.393,0.643,g
2459225.79157,2021-01-11.2863196,bD,1.61,15.323,10.844,0.005,166.868,0.631,g
2459225.79281,2021-01-11.2875581,bD,1.64,15.337,10.858,0.004,164.889,0.610,g
2459225.96931,2021-01-11.4640642,bD,2.09,15.318,10.865,0.005,163.624,0.630,g
2459225.97055,2021-01-11.4653070,bD,2.06,15.323,10.851,0.005,165.826,0.647,g
2459225.97180,2021-01-11.4665571,bD,2.07,15.328,10.863,0.005,163.918,0.626,g
2459226.44181,2021-01-11.9365850,bp,1.55,99.990,99.990,99.990,99.990,99.990,g
2459226.44304,2021-01-11.9378162,bp,1.49,99.990,99.990,99.990,99.990,99.990,g
2459226.44426,2021-01-11.9390413,bp,1.56,15.143,10.856,0.005,165.110,0.736,g
2459227.29400,2021-01-12.7887996,bp,2.39,15.036,10.900,0.007,158.444,0.975,g
2459227.29523,2021-01-12.7900311,bp,2.39,15.050,10.884,0.006,160.746,0.880,g
2459227.29645,2021-01-12.7912584,bp,2.32,15.065,10.923,0.007,155.125,0.930,g
2459227.67480,2021-01-13.1696290,bt,1.52,15.162,10.908,0.005,157.331,0.815,g
2459227.67604,2021-01-13.1708596,bt,1.55,15.150,10.886,0.005,160.464,0.777,g
2459227.67727,2021-01-13.1720902,bt,1.52,15.142,10.863,0.005,163.982,0.784,g
2459228.75265,2021-01-14.2475173,bH,1.46,15.181,10.934,0.005,153.627,0.719,g
2459228.75395,2021-01-14.2488150,bH,1.47,15.178,10.933,0.005,153.784,0.739,g
2459228.75524,2021-01-14.2501012,bH,1.45,15.186,10.952,0.005,151.085,0.717,g
2459230.83004,2021-01-16.3249878,bD,1.48,15.422,10.996,0.004,145.027,0.537,g
2459230.83129,2021-01-16.3262364,bD,1.54,15.435,11.013,0.005,142.803,0.567,g
2459230.83254,2021-01-16.3274864,bD,1.53,15.431,11.009,0.005,143.475,0.568,g
2459230.86453,2021-01-16.3594745,bD,1.56,15.429,11.004,0.004,144.141,0.553,g
2459230.86578,2021-01-16.3607241,bD,1.47,15.434,11.005,0.004,143.884,0.531,g
2459230.86702,2021-01-16.3619622,bD,1.51,15.433,11.003,0.005,144.179,0.561,g
2459230.90558,2021-01-16.4005224,bD,1.58,15.425,11.002,0.005,144.346,0.582,g
2459230.90682,2021-01-16.4017628,bD,1.50,15.426,11.000,0.005,144.582,0.572,g
2459230.90807,2021-01-16.4030236,bD,1.60,15.424,11.003,0.005,144.158,0.576,g
2459231.95155,2021-01-17.4465386,bD,1.48,15.418,11.013,0.005,142.854,0.572,g
2459231.95279,2021-01-17.4477814,bD,1.54,15.422,11.015,0.005,142.640,0.593,g
2459231.95403,2021-01-17.4490208,bD,1.48,15.412,11.008,0.004,143.585,0.562,g
2459232.31534,2021-01-17.8103539,bp,1.54,15.235,11.052,0.006,137.860,0.673,g
2459232.31657,2021-01-17.8115806,bp,1.50,99.990,99.990,99.990,99.990,99.990,g
2459232.31780,2021-01-17.8128093,bp,1.52,99.990,99.990,99.990,99.990,99.990,g
2459232.50723,2021-01-18.0022520,bp,1.49,15.151,11.028,0.006,140.937,0.740,g
2459232.50846,2021-01-18.0034807,bp,1.51,15.154,11.036,0.006,139.858,0.731,g
2459232.50969,2021-01-18.0047145,bp,1.49,15.166,11.055,0.006,137.424,0.732,g
2459232.64969,2021-01-18.1447087,bH,1.47,15.209,11.010,0.005,143.196,0.668,g
2459232.65099,2021-01-18.1460114,bH,1.45,15.211,11.017,0.005,142.393,0.659,g
2459232.65229,2021-01-18.1473137,bH,1.42,15.221,11.028,0.006,140.936,0.691,g
2459232.80763,2021-01-18.3026608,bt,1.57,15.233,11.031,0.006,140.583,0.702,g
2459232.80884,2021-01-18.3038759,bt,1.55,15.234,11.033,0.006,140.238,0.708,g
2459232.81008,2021-01-18.3051048,bt,1.56,15.235,11.031,0.006,140.474,0.676,g
2459235.49755,2021-01-20.9927064,bp,1.59,15.138,11.008,0.006,143.485,0.737,g
2459235.49878,2021-01-20.9939401,bp,1.55,99.990,99.990,99.990,99.990,99.990,g
2459235.50001,2021-01-20.9951747,bp,1.62,15.135,11.002,0.006,144.291,0.757,g
2459236.73527,2021-01-22.2304854,bl,2.09,15.055,10.934,0.007,153.508,0.927,g
2459236.73649,2021-01-22.2317070,bl,2.12,15.058,10.945,0.007,152.175,0.917,g
2459236.73773,2021-01-22.2329415,bl,2.13,15.057,10.936,0.006,153.391,0.903,g
2459237.81330,2021-01-23.3085800,bt,1.47,15.138,10.925,0.005,154.934,0.778,g
2459237.81453,2021-01-23.3098043,bt,1.52,15.134,10.956,0.006,150.505,0.783,g
2459237.81576,2021-01-23.3110305,bt,1.59,15.143,10.936,0.006,153.326,0.781,g
2459237.83929,2021-01-23.3345627,bt,1.59,15.088,10.962,0.006,149.779,0.830,g
2459237.84051,2021-01-23.3357785,bt,1.58,15.102,10.969,0.006,148.829,0.784,g
2459237.84174,2021-01-23.3370099,bt,1.56,15.094,10.981,0.006,147.129,0.799,g
2459244.47024,2021-01-29.9658930,bp,1.47,14.913,10.831,0.006,168.872,0.928,g
2459244.47147,2021-01-29.9671209,bp,1.65,14.924,10.833,0.006,168.579,0.968,g
2459244.47270,2021-01-29.9683486,bp,1.55,14.882,10.838,0.006,167.715,1.022,g
2459245.71793,2021-01-31.2136579,bH,1.44,15.047,10.843,0.005,166.971,0.777,g
2459245.71921,2021-01-31.2149429,bH,1.47,15.023,10.828,0.006,169.306,0.852,g
2459245.72050,2021-01-31.2162293,bH,1.50,15.005,10.831,0.006,168.866,0.845,g
2459245.91518,2021-01-31.4109234,bD,1.97,15.284,10.870,0.005,162.893,0.745,g
2459245.91643,2021-01-31.4121736,bD,2.05,15.275,10.863,0.005,163.953,0.736,g
2459245.91768,2021-01-31.4134177,bD,2.01,15.238,10.860,0.005,164.473,0.749,g
2459246.62280,2021-02-01.1185843,bH,1.47,15.158,10.858,0.005,164.809,0.746,g
2459246.62409,2021-02-01.1198722,bH,1.44,15.133,10.861,0.005,164.335,0.755,g
2459246.62536,2021-02-01.1211557,bH,1.43,15.142,10.863,0.005,163.994,0.746,g
2459246.67752,2021-02-01.1733135,bl,1.51,15.031,10.832,0.006,168.739,0.798,g
2459246.67875,2021-02-01.1745376,bl,1.47,15.041,10.846,0.006,166.539,0.811,g
2459246.67996,2021-02-01.1757534,bl,1.47,15.041,10.853,0.006,165.476,0.833,g
2459246.71155,2021-02-01.2073445,bl,1.50,14.993,10.841,0.006,167.341,0.847,g
2459246.71277,2021-02-01.2085629,bl,1.53,14.987,10.844,0.006,166.816,0.862,g
2459246.71398,2021-02-01.2097805,bl,1.50,14.965,10.831,0.006,168.953,0.932,g
2459246.83345,2021-02-01.3292472,bD,1.48,15.347,10.871,0.005,162.821,0.625,g
2459246.83470,2021-02-01.3304982,bD,1.46,15.345,10.863,0.005,163.876,0.647,g
2459246.83594,2021-02-01.3317401,bD,1.45,15.345,10.869,0.005,163.141,0.625,g
2459246.90610,2021-02-01.4019030,bD,1.50,15.336,10.875,0.005,162.149,0.630,g
2459246.90735,2021-02-01.4031557,bD,1.50,15.316,10.872,0.005,162.652,0.634,g
2459246.90859,2021-02-01.4044006,bD,1.51,15.321,10.860,0.005,164.472,0.644,g
2459247.63386,2021-02-02.1297226,bl,1.52,15.083,10.858,0.005,164.672,0.743,g
2459247.63509,2021-02-02.1309410,bl,1.47,15.099,10.873,0.005,162.389,0.798,g
2459247.63629,2021-02-02.1321579,bl,1.48,15.094,10.880,0.005,161.521,0.779,g
2459251.79904,2021-02-06.2951817,bD,1.50,15.409,10.993,0.004,145.496,0.544,g
2459251.80029,2021-02-06.2964325,bD,1.50,15.416,11.003,0.005,144.174,0.572,g
2459251.80154,2021-02-06.2976767,bD,1.52,15.413,10.994,0.005,145.349,0.578,g
2459251.84039,2021-02-06.3365278,bD,1.47,15.414,10.995,0.005,145.232,0.569,g
2459251.84162,2021-02-06.3377649,bD,1.49,15.414,10.998,0.004,144.798,0.565,g
2459251.84287,2021-02-06.3390092,bD,1.52,15.409,10.988,0.004,146.212,0.561,g
2459252.65975,2021-02-07.1559473,bl,1.54,15.137,10.979,0.006,147.308,0.754,g
2459252.66097,2021-02-07.1571761,bl,1.55,15.152,11.004,0.006,143.931,0.716,g
2459252.66221,2021-02-07.1584121,bl,1.50,15.143,10.988,0.006,146.230,0.744,g
2459252.87638,2021-02-07.3725937,bD,1.52,15.402,11.008,0.005,143.459,0.602,g
2459252.87762,2021-02-07.3738320,bD,1.59,15.409,11.017,0.005,142.237,0.582,g
2459252.87886,2021-02-07.3750785,bD,1.50,15.404,11.010,0.005,143.244,0.591,g
2459253.44410,2021-02-07.9403531,bp,1.48,15.178,11.035,0.006,139.875,0.685,g
2459253.44533,2021-02-07.9415842,bp,1.51,15.179,11.048,0.006,138.296,0.716,g
2459253.44655,2021-02-07.9428085,bp,1.57,15.167,11.039,0.006,139.492,0.735,g
2459253.58420,2021-02-08.0804686,bl,1.47,15.172,10.993,0.005,145.480,0.686,g
2459253.58544,2021-02-08.0817032,bl,1.50,15.163,10.980,0.006,147.192,0.711,g
2459253.58665,2021-02-08.0829179,bl,1.44,15.170,10.995,0.006,145.272,0.704,g
2459253.65474,2021-02-08.1510115,bH,1.42,15.223,11.009,0.004,143.381,0.644,g
2459253.65604,2021-02-08.1523163,bH,1.40,15.217,10.998,0.005,144.860,0.664,g
2459253.65733,2021-02-08.1536050,bH,1.40,15.231,11.008,0.005,143.497,0.686,g
2459253.66348,2021-02-08.1597503,bl,1.48,15.153,11.015,0.006,142.595,0.725,g
